cpu_usage,memory_usage,response_time,error_count,disk_usage,network_latency,failure
61,77,286,6,81,276,1
24,72,437,2,53,55,0
81,99,455,2,45,261,0
70,90,258,1,37,22,0
30,96,327,0,82,294,0
92,73,255,4,71,222,0
96,41,127,3,73,104,0
84,88,450,1,61,153,0
84,22,377,0,73,159,0
97,75,147,2,71,106,1
33,28,395,5,32,119,0
12,33,414,1,51,274,1
31,97,399,9,85,96,0
62,20,385,6,77,25,0
11,68,143,6,58,124,0
97,95,129,2,46,23,0
39,24,87,0,73,28,0
47,19,457,8,62,30,0
11,50,277,4,71,157,0
73,36,183,1,33,206,0
69,69,245,7,27,143,0
30,82,439,9,54,284,0
42,61,331,9,37,28,0
85,37,150,3,74,16,0
67,74,474,9,71,139,0
31,26,124,6,68,85,0
98,53,343,4,27,74,0
58,19,257,2,56,208,0
68,72,132,9,85,83,0
51,91,476,7,60,283,0
69,56,486,1,46,203,0
89,47,192,0,39,298,0
24,79,105,4,57,289,1
71,85,410,3,31,160,0
71,62,489,9,61,80,0
56,87,336,6,69,223,0
71,53,260,8,50,281,1
60,83,490,5,84,269,0
64,63,228,0,72,53,0
73,29,457,7,59,102,0
12,88,107,1,58,297,0
60,40,122,3,29,25,0
16,16,264,2,48,27,0
30,67,437,5,59,142,0
82,19,315,1,49,234,0
48,19,496,4,21,33,0
27,48,122,8,47,25,0
13,37,320,2,66,103,0
98,39,403,1,51,67,0
69,46,283,1,51,137,1
23,76,368,8,46,19,0
18,52,68,5,73,109,0
99,88,162,1,75,115,1
62,94,112,2,50,115,1
11,61,421,0,43,8,0
93,65,233,1,54,156,0
69,85,326,1,49,46,0
80,77,211,1,74,30,1
53,18,292,6,83,198,0
17,32,194,2,52,12,0
56,72,195,3,65,77,0
44,70,130,1,52,82,0
87,49,371,4,87,152,0
90,53,484,8,83,72,0
45,95,370,8,49,187,0
59,33,92,6,48,89,0
13,60,362,7,81,83,0
11,67,443,4,49,43,1
15,99,342,4,31,24,0
63,42,225,2,86,74,0
13,25,425,5,34,160,0
63,31,118,0,29,121,0
72,66,105,2,80,32,0
27,71,168,1,42,102,1
99,91,253,6,30,155,0
53,80,469,8,35,26,0
43,99,464,3,68,265,0
83,81,104,6,33,64,0
71,79,87,7,25,167,0
23,39,292,9,61,118,1
57,32,250,1,36,200,0
24,41,285,6,61,49,0
81,95,64,2,29,117,0
87,66,193,7,65,183,0
96,18,126,5,68,274,0
71,40,358,2,28,60,0
49,80,489,7,58,271,0
94,18,312,2,21,119,0
89,22,234,8,87,171,0
91,67,104,2,71,119,1
62,12,357,0,30,84,0
33,44,53,1,56,290,0
35,30,348,3,41,33,0
98,73,89,1,71,46,1
69,61,279,3,24,123,0
50,43,426,3,21,66,1
38,44,335,3,24,159,0
24,24,187,0,51,289,0
54,15,152,8,38,193,1
74,94,56,9,23,289,0
98,41,213,6,65,108,0
80,61,468,1,45,61,0
18,92,472,2,69,176,0
97,37,469,7,45,160,0
10,94,414,6,51,169,0
17,73,325,3,63,73,0
97,88,98,3,45,62,0
72,87,145,8,80,211,0
20,28,108,4,70,89,0
90,24,280,4,78,105,0
17,15,226,6,57,296,1
44,82,139,0,45,255,0
44,93,331,2,64,224,0
42,47,85,1,50,164,0
14,35,220,9,89,191,0
50,91,175,5,64,91,0
37,60,348,5,50,159,0
16,82,404,9,80,284,0
82,62,253,0,67,168,1
81,65,338,5,64,72,0
21,68,405,9,79,292,1
43,79,146,1,80,216,0
42,87,287,3,71,124,0
57,67,222,5,71,189,0
32,97,350,2,81,220,0
71,22,137,2,45,134,0
97,52,448,2,86,82,0
46,85,400,3,68,174,1
53,60,66,8,63,42,0
95,28,189,3,55,59,0
44,30,303,3,72,294,0
74,92,327,3,63,50,0
56,33,200,6,41,175,0
87,35,395,4,21,134,0
12,54,383,1,26,168,1
10,37,189,6,35,74,0
14,91,163,2,63,296,0
99,38,117,0,84,73,0
23,26,415,8,88,109,0
36,77,228,4,80,58,0
18,53,174,9,49,252,1
88,70,446,0,61,110,0
24,77,362,0,44,101,0
99,83,360,0,76,31,0
51,34,387,8,51,76,0
86,76,412,7,69,189,1
60,11,461,5,29,138,1
72,98,407,9,41,178,0
61,58,282,5,60,285,0
13,79,477,5,66,102,0
32,35,196,3,33,68,0
24,81,479,4,22,117,0
52,36,160,9,72,69,0
38,98,412,2,35,220,0
45,27,407,2,80,294,0
22,63,287,9,47,93,1
41,10,52,6,54,251,0
80,70,260,4,21,153,0
68,12,453,7,80,244,0
95,77,74,4,75,10,0
37,50,380,3,74,241,0
75,46,233,2,37,271,0
51,60,110,1,68,242,1
54,24,172,2,61,143,0
71,17,104,6,26,169,0
66,47,212,7,23,286,1
15,92,236,4,62,189,0
37,65,88,0,78,158,0
37,56,234,2,68,110,0
53,99,132,3,79,153,0
93,19,244,9,25,189,0
39,87,83,3,39,275,0
71,58,162,0,50,195,0
84,50,474,9,41,167,0
98,92,455,8,51,205,0
71,39,279,9,66,110,0
10,14,332,3,53,219,1
36,80,454,1,46,224,0
71,92,474,8,63,221,0
86,40,336,3,49,33,0
12,61,204,3,52,242,0
79,97,214,5,46,68,0
81,32,499,7,75,100,0
36,57,231,4,42,158,0
18,49,288,7,62,32,0
71,15,186,0,73,180,0
46,47,388,3,87,255,0
60,50,475,0,72,198,0
53,36,469,2,59,283,0
33,84,315,6,79,43,0
88,78,236,0,28,73,1
68,66,89,4,29,281,0
41,26,359,0,29,124,0
97,80,216,5,49,90,0
61,56,440,8,29,181,0
71,88,309,2,77,98,0
67,22,192,5,55,96,0
61,20,253,3,63,85,0
21,99,225,5,76,232,0
48,95,311,1,62,92,1
11,33,301,3,42,132,0
12,82,378,6,23,194,0
65,13,468,5,31,138,0
90,55,249,8,68,140,0
68,27,248,6,43,44,0
11,52,245,0,32,142,0
11,89,363,5,87,291,0
63,42,126,2,53,260,0
96,19,68,7,28,290,0
10,82,111,0,29,89,0
28,68,376,9,84,31,1
11,40,443,1,73,234,0
62,37,330,2,62,295,0
53,69,477,2,78,292,0
99,12,299,6,78,136,1
41,64,276,7,86,95,0
79,23,176,8,80,233,0
41,67,107,6,57,31,0
77,98,458,7,27,286,0
64,24,425,5,84,284,0
84,11,253,1,24,203,0
65,33,292,0,62,158,0
26,87,416,2,79,47,0
47,73,473,8,45,114,0
33,80,381,6,30,115,0
78,33,375,1,53,5,0
79,36,301,0,21,144,0
95,46,443,1,40,182,0
20,48,371,2,45,64,0
25,72,425,5,24,187,0
82,88,458,8,28,286,0
68,35,248,7,69,225,0
79,74,392,9,29,231,0
89,13,289,8,77,148,0
12,38,188,7,29,228,0
29,10,171,6,55,56,1
68,59,469,5,75,85,0
